"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"9524","PG","Stephen","Curry","51.9","7","10900","DET@GS","GS","DET","","","",""
"12362","C","DeMarcus","Cousins","38","3","10300","SA@SAC","SAC","SA","GTD","Achilles","",""
"9560","PF","Blake","Griffin","47.4","6","10200","MEM@LAC","LAC","MEM","","","",""
"9623","PG","Chris","Paul","34.5","5","9400","MEM@LAC","LAC","MEM","GTD","Groin","",""
"15557","C","Andre","Drummond","46.7","5","9300","DET@GS","DET","GS","","","",""
"20848","PG","Damian","Lillard","40.1","6","8900","POR@DEN","POR","DEN","","","",""
"12341","SF","Paul","George","40.1","6","8500","ORL@IND","IND","ORL","","","",""
"14513","SF","Kawhi","Leonard","38","6","8200","SA@SAC","SA","SAC","","","",""
"9688","PF","LaMarcus","Aldridge","29.1","6","8200","SA@SAC","SA","SAC","","","",""
"9729","PF","Paul","Millsap","37.9","8","8100","MIN@ATL","ATL","MIN","","","",""
"15684","SG","Victor","Oladipo","35.8","7","8000","ORL@IND","ORL","IND","","","",""
"14523","PG","Reggie","Jackson","32.6","5","8000","DET@GS","DET","GS","","","",""
"9561","C","DeAndre","Jordan","34.3","6","8000","MEM@LAC","LAC","MEM","","","",""
"14528","SG","Jimmy","Butler","35.6","7","7900","CHI@PHI","CHI","PHI","","","",""
"14514","C","Nikola","Vucevic","33.2","5","7800","ORL@IND","ORL","IND","GTD","Knee","",""
"9570","PF","Pau","Gasol","31.9","7","7800","CHI@PHI","CHI","PHI","","","",""
"15860","PF","Draymond","Green","30.7","7","7600","DET@GS","GS","DET","","","",""
"9453","C","Al","Horford","34.3","8","7600","MIN@ATL","ATL","MIN","","","",""
"9577","SF","Rudy","Gay","29.5","7","7600","SA@SAC","SAC","SA","","","",""
"14496","PG","Ricky","Rubio","35.8","5","7500","MIN@ATL","MIN","ATL","","","",""
"23825","PF","Nerlens","Noel","30.1","6","7400","CHI@PHI","PHI","CHI","","","",""
