"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"9642","PG","Russell","Westbrook","50.2","6","10800","PHO@OKC","OKC","PHO","","","",""
"9488","SF","LeBron","James","45.3","6","10300","IND@CLE","CLE","IND","GTD","Thigh","",""
"9646","SF","Kevin","Durant","43.2","6","10100","PHO@OKC","OKC","PHO","","","",""
"9508","SF","Carmelo","Anthony","36.9","6","9200","LAL@NY","NY","LAL","","","",""
"15557","C","Andre","Drummond","46.7","5","9200","DET@POR","DET","POR","","","",""
"12341","SF","Paul","George","40.1","6","8900","IND@CLE","IND","CLE","","","",""
"20848","PG","Damian","Lillard","40.1","6","8900","DET@POR","POR","DET","","","",""
"14523","PG","Reggie","Jackson","32.6","5","8100","DET@POR","DET","POR","","","",""
"12355","SG","Eric","Bledsoe","36.7","6","8000","PHO@OKC","PHO","OKC","","","",""
"9718","PF","Chris","Bosh","34","6","8000","TOR@MIA","MIA","TOR","","","",""
"9714","SG","DeMar","DeRozan","35.4","6","8000","TOR@MIA","TOR","MIA","","","",""
"12363","C","Hassan","Whiteside","33.3","6","7900","TOR@MIA","MIA","TOR","","","",""
"9535","PG","Kyle","Lowry","36.2","6","7800","TOR@MIA","TOR","MIA","","","",""
"9874","PF","Kevin","Love","33.7","6","7600","IND@CLE","CLE","IND","","","",""
"9566","SG","Kobe","Bryant","24.7","5","7300","LAL@NY","LAL","NY","","","",""
"14506","PG","Brandon","Knight","33.2","6","7000","PHO@OKC","PHO","OKC","","","",""
"9585","SG","Dwyane","Wade","31.5","6","7000","TOR@MIA","MIA","TOR","","","",""
"9957","PF","Serge","Ibaka","29.7","6","7000","PHO@OKC","OKC","PHO","","","",""
"20640","PG","Jordan","Clarkson","25.8","5","6500","LAL@NY","LAL","NY","","","",""
"19067","SG","C.J.","McCollum","32.8","6","6500","DET@POR","POR","DET","","","",""
"14516","C","Enes","Kanter","23.6","6","6500","PHO@OKC","OKC","PHO","","","",""
"14503","C","Jonas","Valanciunas","29","6","6300","TOR@MIA","TOR","MIA","","","",""
"9703","PG","George","Hill","26.1","6","6300","IND@CLE","IND","CLE","","","",""
"9526","SG","Monta","Ellis","22.2","6","6200","IND@CLE","IND","CLE","","","",""
"9673","PG","Goran","Dragic","22.7","6","6100","TOR@MIA","MIA","TOR","","","",""
"14512","SF","Marcus","Morris","29.7","5","6000","DET@POR","DET","POR","","","",""
"42669","PF","Julius","Randle","28.2","5","5900","LAL@NY","LAL","NY","","","",""
"9484","PG","Mo","Williams","26.5","6","5800","IND@CLE","CLE","IND","","","",""
"9473","C","Tyson","Chandler","24.4","6","5800","PHO@OKC","PHO","OKC","","","",""
"14511","PF","Markieff","Morris","23.3","6","5800","PHO@OKC","PHO","OKC","","","",""
"9787","SF","DeMarre","Carroll","21.8","6","5700","TOR@MIA","TOR","MIA","GTD","Foot","",""
"12342","SF","Al-Farouq","Aminu","27.6","6","5700","DET@POR","POR","DET","","","",""
"9506","SG","J.R.","Smith","13","4","5400","IND@CLE","CLE","IND","GTD","Knee","",""
"15590","C","Mason","Plumlee","25","6","5400","DET@POR","POR","DET","","","",""
"63122","PF","Kristaps","Porzingis","26.8","6","5200","LAL@NY","NY","LAL","","","",""
"58312","PG","D'Angelo","Russell","17.3","5","5200","LAL@NY","LAL","NY","","","",""
"14501","PF","Tristan","Thompson","21.6","6","5100","IND@CLE","CLE","IND","","","",""
"9662","SG","Louis","Williams","24.2","5","5100","LAL@NY","LAL","NY","","","",""
"9951","SG","Gerald","Henderson","20.5","80","5100","DET@POR","POR","DET","O","Hip","",""
"9479","SF","Luol","Deng","17.1","6","5000","TOR@MIA","MIA","TOR","","","",""
"9553","C","Roy","Hibbert","20.6","5","5000","LAL@NY","LAL","NY","","","",""
"15636","SG","Kentavious","Caldwell-Pope","23","5","5000","DET@POR","DET","POR","","","",""
"17230","SG","Langston","Galloway","22.8","6","4900","LAL@NY","NY","LAL","","","",""
"12365","PF","Ed","Davis","18.7","6","4800","DET@POR","POR","DET","","","",""
"9752","C","Jordan","Hill","20.5","5","4700","IND@CLE","IND","CLE","","","",""
"16220","SG","Dion","Waiters","15.2","6","4700","PHO@OKC","OKC","PHO","","","",""
"9725","SF","C.J.","Miles","19.1","4","4700","IND@CLE","IND","CLE","GTD","Ankle","",""
"9507","SG","Arron","Afflalo","19.3","78","4600","LAL@NY","NY","LAL","O","Hamstring","",""
"17384","C","Kyle","O'Quinn","20.5","6","4600","LAL@NY","NY","LAL","","","",""
"9598","PF","Ersan","Ilyasova","15.9","5","4600","DET@POR","DET","POR","","","",""
"9514","SG","Rodney","Stuckey","17.8","6","4500","IND@CLE","IND","CLE","O","Ankle","",""
"9953","C","Ian","Mahinmi","18.2","5","4500","IND@CLE","IND","CLE","","","",""
"9542","PF","Luis","Scola","20","6","4400","TOR@MIA","TOR","MIA","","","",""
"12424","C","Timofey","Mozgov","16.8","6","4400","IND@CLE","CLE","IND","","","",""
"23407","SF","P.J.","Tucker","12.5","6","4300","PHO@OKC","PHO","OKC","","","",""
"23169","C","Steven","Adams","18","6","4300","PHO@OKC","OKC","PHO","GTD","Back","",""
"15669","C","Meyers","Leonard","15.1","6","4300","DET@POR","POR","DET","","","",""
"9563","C","Chris","Kaman","0","1","4200","DET@POR","POR","DET","","","",""
