"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"9549","SG","Brandon","Rush","5.6","5","3500","GS@MIN","GS","MIN","","","",""
"9671","PF","Marreese","Speights","12.1","8","3500","GS@MIN","GS","MIN","","","",""
"23717","SF","Shabazz","Muhammad","9.6","7","3500","GS@MIN","MIN","GS","","","",""
"15858","PF","Branden","Dawson","0","0","3500","LAC@PHO","LAC","PHO","","","",""
"15736","C","Jeff","Withey","0","1","3500","UTA@MIA","UTA","MIA","","","",""
"12828","SF","Elijah","Millsap","1.5","5","3500","UTA@MIA","UTA","MIA","","","",""
"15592","PG","Austin","Rivers","11","7","3500","LAC@PHO","LAC","PHO","","","",""
"58461","PF","Trey","Lyles","3.6","7","3500","UTA@MIA","UTA","MIA","","","",""
"23234","PG","Pablo","Prigioni","3.4","2","3500","LAC@PHO","LAC","PHO","","","",""
"58460","SG","Devin","Booker","7","4","3500","LAC@PHO","PHO","LAC","","","",""
"16233","SG","Josh","Richardson","2.5","2","3500","UTA@MIA","MIA","UTA","","","",""
"55376","SF","Damjan","Rudez","2.6","3","3500","GS@MIN","MIN","GS","","","",""
"9589","PF","Udonis","Haslem","5.2","3","3500","UTA@MIA","MIA","UTA","","","",""
"9928","SF","Sonny","Weems","4.1","6","3500","LAC@PHO","PHO","LAC","","","",""
"9723","PG","Ronnie","Price","9.6","7","3500","LAC@PHO","PHO","LAC","","","",""
"9796","SF","Luc Richard","Mbah a Moute","0.3","5","3500","LAC@PHO","LAC","PHO","","","",""
"40208","PG","Raul","Neto","10","7","3500","UTA@MIA","UTA","MIA","","","",""
"17462","SG","Chris","Johnson","3","5","3500","UTA@MIA","UTA","MIA","","","",""
"23824","PG","Archie","Goodwin","7.3","4","3500","LAC@PHO","PHO","LAC","","","",""
