"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"9524","PG","Stephen","Curry","55","6","10900","GS@SAC","GS","SAC","","","",""
"15755","PF","Anthony","Davis","46.4","5","10600","NO@DAL","NO","DAL","","","",""
"12362","C","DeMarcus","Cousins","38","3","10300","GS@SAC","SAC","GS","O","Achilles","",""
"9560","PF","Blake","Griffin","45.9","5","10000","HOU@LAC","LAC","HOU","","","",""
"9644","SG","James","Harden","44.9","6","9800","HOU@LAC","HOU","LAC","","","",""
"12332","PG","John","Wall","41.2","5","9500","WAS@ATL","WAS","ATL","","","",""
"9623","PG","Chris","Paul","34.5","5","9400","HOU@LAC","LAC","HOU","GTD","Groin","",""
"9688","PF","LaMarcus","Aldridge","30.1","5","8400","CHA@SA","SA","CHA","","","",""
"12337","C","Greg","Monroe","36.6","6","8300","BKN@MIL","MIL","BKN","","","",""
"9660","C","Dwight","Howard","32.3","3","8300","HOU@LAC","HOU","LAC","O","Rest","",""
"14513","SF","Kawhi","Leonard","38.6","5","8200","CHA@SA","SA","CHA","","","",""
"14528","SG","Jimmy","Butler","37.5","6","8100","MIN@CHI","CHI","MIN","","","",""
"15684","SG","Victor","Oladipo","37","6","8000","ORL@PHI","ORL","PHI","","","",""
"9561","C","DeAndre","Jordan","34.4","5","8000","HOU@LAC","LAC","HOU","","","",""
"9729","PF","Paul","Millsap","36.8","7","7900","WAS@ATL","ATL","WAS","","","",""
"9621","C","Brook","Lopez","34.4","6","7900","BKN@MIL","BKN","MIL","","","",""
"40203","C","Rudy","Gobert","32.5","5","7900","MEM@UTA","UTA","MEM","","","",""
"14514","C","Nikola","Vucevic","33.2","5","7800","ORL@PHI","ORL","PHI","O","Knee","",""
"9453","C","Al","Horford","35.3","7","7700","WAS@ATL","ATL","WAS","","","",""
"12351","PF","Derrick","Favors","31.6","5","7700","MEM@UTA","UTA","MEM","GTD","Illness","",""
"9577","SF","Rudy","Gay","29.5","6","7700","GS@SAC","SAC","GS","","","",""
"15860","PF","Draymond","Green","30.8","6","7600","GS@SAC","GS","SAC","","","",""
"9570","PF","Pau","Gasol","29.6","6","7600","MIN@CHI","CHI","MIN","","","",""
"23825","PF","Nerlens","Noel","35.1","5","7500","ORL@PHI","PHI","ORL","","","",""
"14496","PG","Ricky","Rubio","36.1","4","7500","MIN@CHI","MIN","CHI","","","",""
"9609","C","Al","Jefferson","30.7","5","7500","CHA@SA","CHA","SA","","","",""
