"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"9642","PG","Russell","Westbrook","50.7","7","10900","OKC@WAS","OKC","WAS","","","",""
"15755","PF","Anthony","Davis","45.4","6","10800","DAL@NO","NO","DAL","","","",""
"9646","SF","Kevin","Durant","44.9","7","10400","OKC@WAS","OKC","WAS","","","",""
"9488","SF","LeBron","James","44.5","7","10000","UTA@CLE","CLE","UTA","GTD","Thigh","",""
"12332","PG","John","Wall","40.8","6","9500","OKC@WAS","WAS","OKC","","","",""
"9508","SF","Carmelo","Anthony","36.6","7","9400","NY@TOR","NY","TOR","","","",""
"12337","C","Greg","Monroe","36.9","7","8200","BOS@MIL","MIL","BOS","","","",""
"9535","PG","Kyle","Lowry","35.9","7","8000","NY@TOR","TOR","NY","","","",""
"12363","C","Hassan","Whiteside","35.2","7","8000","LAL@MIA","MIA","LAL","","","",""
"9874","PF","Kevin","Love","36.3","7","7900","UTA@CLE","CLE","UTA","","","",""
"9718","PF","Chris","Bosh","34.3","7","7900","LAL@MIA","MIA","LAL","","","",""
"40203","C","Rudy","Gobert","32","6","7800","UTA@CLE","UTA","CLE","","","",""
"12351","PF","Derrick","Favors","32.2","6","7700","UTA@CLE","UTA","CLE","","","",""
"9714","SG","DeMar","DeRozan","32.6","7","7600","NY@TOR","TOR","NY","","","",""
"14496","PG","Ricky","Rubio","35.8","5","7500","CHA@MIN","MIN","CHA","","","",""
"9566","SG","Kobe","Bryant","24.9","6","7400","LAL@MIA","LAL","MIA","","","",""
"14559","PG","Isaiah","Thomas","34.4","5","7300","BOS@MIL","BOS","MIL","","","",""
"15595","SG","Brad","Beal","31.4","6","7300","OKC@WAS","WAS","OKC","GTD","Shoulder","",""
"9609","C","Al","Jefferson","29.4","6","7300","CHA@MIN","CHA","MIN","","","",""
"14507","PG","Kemba","Walker","30.8","6","7200","CHA@MIN","CHA","MIN","","","",""
"16201","PG","Michael","Carter-Williams","30","4","7000","BOS@MIL","MIL","BOS","GTD","Ankle","",""
"9585","SG","Dwyane","Wade","29.8","7","7000","LAL@MIA","MIA","LAL","","","",""
"40199","SG","Giannis","Antetokounmpo","32.7","6","7000","BOS@MIL","MIL","BOS","","","",""
"9957","PF","Serge","Ibaka","28.8","7","6900","OKC@WAS","OKC","WAS","","","",""
"49116","SF","Andrew","Wiggins","22.9","5","6900","CHA@MIN","MIN","CHA","","","",""
"58462","C","Karl-Anthony","Towns","33.3","5","6700","CHA@MIN","MIN","CHA","","","",""
"9722","PG","Deron","Williams","26","5","6700","DAL@NO","DAL","NO","","","",""
"12366","SF","Gordon","Hayward","23.7","6","6600","UTA@CLE","UTA","CLE","","","",""
"9809","SF","Nicolas","Batum","27.9","6","6500","CHA@MIN","CHA","MIN","","","",""
"9500","PF","Dirk","Nowitzki","29.9","6","6500","DAL@NO","DAL","NO","","","",""
"14516","C","Enes","Kanter","24.6","7","6500","OKC@WAS","OKC","WAS","","","",""
"20640","PG","Jordan","Clarkson","23.8","6","6300","LAL@MIA","LAL","MIA","","","",""
"14503","C","Jonas","Valanciunas","28.4","7","6300","NY@TOR","TOR","NY","","","",""
"9661","C","Marcin","Gortat","23","6","6100","OKC@WAS","WAS","OKC","","","",""
"9787","SF","DeMarre","Carroll","21.8","6","6000","NY@TOR","TOR","NY","GTD","Foot","",""
"42669","PF","Julius","Randle","27.5","6","5900","LAL@MIA","LAL","MIA","","","",""
"9663","PG","Jrue","Holiday","20.7","4","5900","DAL@NO","NO","DAL","","","",""
"9772","PF","Ryan","Anderson","27.3","6","5800","DAL@NO","NO","DAL","","","",""
"16261","SF","Khris","Middleton","24.3","7","5800","BOS@MIL","MIL","BOS","","","",""
